timestamp,x,y,z
0,-4.99,-7.15,3.62
10,-4.98,-7.15,3.65
20,-4.99,-7.13,3.66
30,-4.98,-7.13,3.69
40,-5.0,-7.16,3.64
50,-5.01,-7.21,3.59
60,-5.03,-7.21,3.52
70,-5.08,-7.2,3.42
80,-5.15,-7.17,3.37
90,-5.2,-7.14,3.3
100,-5.26,-7.09,3.21
110,-5.36,-7.1,3.18
120,-5.45,-7.07,3.14
130,-5.58,-7.11,3.04
140,-5.6,-7.16,2.95
150,-5.71,-7.15,2.88
160,-5.83,-7.07,2.85
170,-5.95,-7.06,2.77
180,-6.29,-6.96,2.6
190,-6.51,-6.89,2.49
200,-6.85,-6.79,2.46
210,-7.12,-6.76,2.32
220,-7.28,-6.72,2.12
230,-7.37,-6.82,1.98
240,-7.55,-6.99,2.04
250,-7.74,-6.5,2.21
260,-7.88,-6.28,2.32
270,-7.88,-6.15,2.25
280,-7.88,-5.93,2.18
290,-7.76,-5.79,2.15
300,-7.5,-5.64,2.03
310,-7.14,-5.58,1.88
320,-6.89,-5.6,1.79
330,-6.56,-5.56,1.82
340,-6.35,-5.44,1.94
350,-6.16,-5.31,2.28
360,-5.92,-5.21,2.64
370,-5.62,-5.25,3.05
380,-5.38,-5.08,3.19
390,-5.16,-4.81,3.37
400,-4.91,-4.74,3.48
410,-4.57,-4.87,3.56
420,-4.23,-5.16,3.61
430,-3.93,-5.04,3.69
440,-3.62,-5.18,3.84
450,-3.29,-5.22,4.04
460,-2.99,-5.28,4.3
470,-2.78,-5.42,4.72
480,-2.63,-5.79,5.19
490,-2.44,-6.15,5.56
500,-2.37,-6.1,5.87
510,-2.55,-6.3,6.09
520,-2.63,-6.44,6.14
530,-2.82,-6.61,6.16
540,-3.15,-6.67,6.2
550,-3.47,-6.62,6.16
560,-3.69,-6.97,6.15
570,-3.83,-7.14,6.21
580,-4.13,-7.26,6.28
590,-4.31,-7.58,6.33
600,-4.63,-7.8,6.44
610,-5.16,-8.3,6.73
620,-5.44,-7.99,6.72
630,-5.81,-7.9,6.77
640,-5.76,-8.16,6.87
650,-5.6,-8.11,6.81
660,-5.98,-8.03,6.8
670,-6.5,-7.49,6.62
680,-7.24,-7.13,6.53
690,-7.65,-6.97,6.63
700,-7.74,-7.0,6.89
710,-7.5,-7.07,7.0
720,-7.35,-7.08,6.85
730,-7.55,-6.92,6.48
740,-8.22,-6.57,6.14
750,-8.66,-6.09,5.91
760,-9.22,-6.06,5.75
770,-9.43,-6.19,5.73
780,-9.38,-6.5,5.7
790,-9.13,-6.79,5.56
800,-8.98,-6.77,5.33
810,-9.0,-6.33,4.95
820,-9.21,-5.94,4.47
830,-9.29,-5.62,4.08
840,-9.32,-5.54,3.75
850,-9.25,-5.46,3.57
860,-9.27,-5.44,3.56
870,-9.26,-5.39,3.46
880,-9.23,-5.46,3.41
890,-9.22,-5.42,3.47
900,-9.28,-5.19,3.41
910,-9.28,-4.98,3.1
920,-9.38,-4.88,2.77
930,-9.25,-4.65,2.46
940,-9.33,-4.44,2.36
950,-9.25,-4.45,2.4
960,-9.33,-4.18,2.28
970,-9.12,-4.22,2.51
980,-8.95,-4.22,2.5
990,-8.84,-4.27,2.46
1000,-8.56,-4.31,2.38
