timestamp,x,y,z
0,-5.91,-8.61,4.26
10,-5.83,-8.73,4.3
20,-5.89,-8.75,4.26
30,-6.03,-8.51,4.12
40,-6.23,-8.27,4.08
50,-6.4,-7.96,3.97
60,-6.33,-7.89,3.53
70,-6.29,-7.95,2.95
80,-6.31,-7.92,2.32
90,-6.62,-7.72,1.78
100,-7.05,-7.36,1.37
110,-7.57,-7.06,1.08
120,-8.09,-6.77,0.72
130,-8.45,-6.48,0.24
140,-8.71,-6.4,-0.17
150,-8.71,-6.29,-0.44
160,-8.45,-6.01,-0.44
170,-8.6,-6.22,-0.76
180,-8.29,-6.0,-0.76
190,-8.04,-5.93,-0.98
200,-7.83,-5.91,-1.25
210,-7.61,-5.83,-1.49
220,-7.69,-5.7,-1.61
230,-7.68,-5.15,-1.52
240,-7.72,-4.73,-1.1
250,-7.62,-4.4,-0.46
260,-7.25,-4.17,0.35
270,-6.62,-3.92,0.73
280,-5.95,-3.74,1.04
290,-5.55,-3.81,0.87
300,-4.98,-3.64,0.85
310,-4.34,-3.55,0.9
320,-4.15,-3.55,0.94
330,-3.94,-3.52,1.25
340,-3.67,-3.28,2.02
350,-3.65,-3.63,2.47
360,-3.27,-3.85,3.11
370,-3.04,-4.18,3.71
380,-2.85,-4.46,4.31
390,-2.6,-4.78,4.93
400,-2.39,-4.87,5.46
410,-2.62,-5.06,6.01
420,-2.56,-5.3,6.16
430,-2.67,-5.43,6.31
440,-2.77,-5.93,6.49
450,-2.8,-6.55,6.55
460,-2.91,-7.19,6.53
470,-3.09,-7.56,6.41
480,-3.45,-7.85,6.37
490,-3.73,-8.12,6.22
500,-4.08,-8.25,6.09
510,-4.63,-8.3,6.05
520,-5.11,-8.55,6.09
530,-5.52,-8.83,6.11
540,-6.13,-9.17,6.06
550,-6.76,-9.41,5.92
560,-7.26,-9.47,5.76
570,-7.68,-9.51,5.62
580,-7.94,-9.48,5.42
590,-8.46,-9.31,5.23
600,-8.89,-9.35,5.08
610,-9.18,-9.18,4.93
620,-9.69,-8.59,5.04
630,-9.93,-7.58,5.43
640,-10.13,-6.53,5.78
650,-10.58,-5.55,5.82
660,-11.34,-4.98,5.77
670,-12.36,-5.24,5.4
680,-13.01,-5.53,4.68
690,-13.47,-5.55,3.77
700,-14.15,-5.7,2.51
710,-14.7,-6.09,1.17
720,-14.85,-6.08,0.18
730,-15.17,-6.06,-0.66
740,-15.19,-6.11,-1.43
750,-14.91,-6.09,-1.98
760,-14.82,-6.0,-2.17
770,-14.42,-5.66,-1.92
780,-13.64,-5.51,-1.43
790,-13.04,-5.32,-1.02
800,-12.26,-5.09,-0.39
810,-11.66,-4.71,-0.06
820,-11.35,-4.25,-0.25
830,-10.69,-3.65,-0.66
840,-10.08,-3.48,-1.16
850,-9.64,-3.22,-1.53
860,-9.34,-2.8,-1.55
870,-8.82,-2.61,-1.54
880,-8.13,-2.39,-1.68
890,-7.49,-2.32,-1.61
900,-6.87,-2.59,-1.44
910,-6.23,-2.58,-1.16
920,-5.73,-2.67,-1.08
930,-5.22,-2.7,-1.11
940,-4.87,-2.81,-1.07
950,-4.34,-2.87,-1.0
960,-3.83,-3.01,-1.03
970,-3.34,-3.28,-1.0
980,-2.97,-3.62,-0.73
990,-2.61,-4.08,-0.37
1000,-2.26,-4.53,0.05
