timestamp,x,y,z
0,-5.96,-8.12,2.89
10,-6.09,-8.07,2.62
20,-6.12,-7.97,2.45
30,-6.19,-7.9,2.12
40,-6.31,-7.76,1.85
50,-6.45,-7.58,1.7
60,-6.6,-7.38,1.57
70,-6.73,-7.2,1.39
80,-6.88,-7.05,1.24
90,-7.06,-6.85,1.28
100,-7.15,-6.77,1.26
110,-7.19,-6.72,1.28
120,-7.17,-6.62,1.31
130,-7.11,-6.62,1.27
140,-6.96,-6.58,1.28
150,-6.87,-6.5,1.2
160,-6.7,-6.39,1.13
170,-6.58,-6.25,1.12
180,-6.41,-6.1,0.99
190,-6.25,-5.92,1.01
200,-6.08,-5.72,1.03
210,-5.81,-5.63,1.03
220,-5.63,-5.6,1.11
230,-5.33,-5.53,1.11
240,-5.15,-5.5,1.25
250,-4.84,-5.46,1.42
260,-4.59,-5.43,1.73
270,-4.33,-5.41,1.95
280,-3.93,-5.32,2.24
290,-3.68,-5.47,2.53
300,-3.27,-5.46,2.66
310,-2.89,-5.51,2.94
320,-2.65,-5.56,3.16
330,-2.4,-5.57,3.51
340,-2.29,-5.56,3.82
350,-2.18,-5.68,4.15
360,-2.15,-5.8,4.41
370,-2.17,-5.94,4.64
380,-2.24,-6.11,4.83
390,-2.41,-6.21,5.06
400,-2.6,-6.3,5.25
410,-2.9,-6.38,5.38
420,-3.24,-6.53,5.39
430,-3.56,-6.72,5.12
440,-3.82,-7.17,4.78
450,-4.02,-7.81,4.75
460,-4.25,-8.75,5.8
470,-4.8,-9.26,7.49
480,-5.03,-8.97,8.62
490,-5.34,-9.39,9.07
500,-5.77,-9.34,8.85
510,-5.92,-9.36,8.07
520,-5.99,-9.39,6.91
530,-5.97,-9.47,5.8
540,-5.94,-9.42,4.94
550,-5.86,-9.28,4.46
560,-5.9,-9.14,4.33
570,-6.27,-8.87,3.96
580,-6.71,-8.58,3.47
590,-7.13,-8.32,3.09
600,-7.27,-8.2,2.75
610,-7.22,-8.28,2.47
620,-7.45,-8.38,2.15
630,-8.04,-8.25,1.61
640,-9.1,-7.96,0.93
650,-10.34,-7.68,0.33
660,-11.04,-7.44,0.26
670,-11.52,-7.32,0.55
680,-11.8,-7.34,0.89
690,-12.04,-7.43,1.06
700,-12.33,-7.14,0.95
710,-13.01,-6.63,0.43
720,-13.49,-5.99,-0.1
730,-13.85,-5.44,-0.79
740,-13.81,-5.39,-1.8
750,-13.74,-5.04,-2.56
760,-13.35,-4.79,-3.24
770,-13.01,-4.3,-3.6
780,-12.62,-3.93,-3.75
790,-12.06,-3.62,-3.67
800,-11.5,-3.34,-3.52
810,-11.0,-3.2,-3.51
820,-10.54,-2.93,-3.39
830,-10.05,-2.71,-3.21
840,-9.62,-2.65,-2.9
850,-9.14,-2.36,-2.4
860,-8.62,-2.59,-2.2
870,-8.63,-3.17,-2.01
880,-8.3,-2.82,-2.04
890,-7.85,-2.88,-1.98
900,-7.53,-3.0,-2.0
910,-7.21,-2.98,-2.09
920,-6.84,-3.0,-2.04
930,-6.55,-3.14,-2.0
940,-6.2,-3.21,-2.02
950,-5.96,-3.28,-1.93
960,-5.67,-3.29,-1.89
970,-5.56,-3.45,-1.97
980,-5.48,-3.89,-2.01
990,-5.38,-4.17,-2.02
1000,-5.35,-4.55,-1.9
