timestamp,x,y,z
0,-4.29,-7.07,3.35
10,-4.27,-7.05,3.42
20,-4.24,-7.0,3.56
30,-4.21,-6.98,3.62
40,-4.16,-6.95,3.75
50,-4.07,-6.93,3.89
60,-3.96,-6.93,4.04
70,-3.71,-6.98,4.19
80,-3.44,-6.96,4.38
90,-3.18,-6.87,4.55
100,-2.96,-6.73,4.69
110,-2.74,-6.6,4.87
120,-2.55,-6.56,5.06
130,-2.39,-6.59,5.23
140,-2.46,-6.59,5.35
150,-2.66,-6.65,5.45
160,-2.87,-6.75,5.65
170,-3.08,-6.93,5.82
180,-3.27,-7.1,6.12
190,-3.42,-7.34,6.27
200,-3.61,-7.49,6.27
210,-4.01,-7.58,6.26
220,-4.6,-7.68,6.31
230,-5.18,-7.67,6.4
240,-5.79,-7.68,6.68
250,-6.48,-7.66,7.03
260,-7.06,-7.87,7.25
270,-7.23,-8.12,7.5
280,-7.24,-8.49,7.81
290,-8.2,-8.62,8.03
300,-8.69,-8.61,7.22
310,-10.04,-8.46,6.43
320,-11.12,-8.11,5.44
330,-12.08,-7.8,4.69
340,-12.91,-7.54,3.89
350,-13.36,-7.23,3.07
360,-13.95,-7.01,2.09
370,-14.1,-6.81,1.16
380,-14.18,-6.7,0.39
390,-13.86,-6.47,-0.06
400,-13.85,-6.3,-0.43
410,-13.11,-5.92,-0.42
420,-12.67,-5.53,-0.52
430,-12.05,-5.15,-0.63
440,-11.47,-4.66,-0.6
450,-11.14,-4.2,-0.42
460,-10.63,-3.79,-0.45
470,-10.27,-3.54,-0.55
480,-9.95,-3.36,-0.63
490,-9.61,-3.21,-0.67
500,-9.56,-3.05,-0.72
510,-9.28,-2.94,-0.69
520,-9.19,-2.83,-0.69
530,-9.08,-2.81,-0.82
540,-8.63,-2.64,-0.93
550,-8.41,-2.76,-1.16
560,-8.0,-2.63,-1.38
570,-7.52,-2.52,-1.64
580,-7.15,-2.54,-1.73
590,-6.77,-2.59,-1.56
600,-6.34,-2.65,-1.46
610,-5.89,-2.69,-1.2
620,-5.54,-2.75,-1.03
630,-5.22,-2.79,-1.07
640,-4.69,-2.89,-0.93
650,-4.22,-3.03,-0.62
660,-3.67,-3.27,-0.3
670,-3.14,-3.47,0.01
680,-2.76,-3.59,0.32
690,-2.32,-3.78,0.77
700,-1.95,-4.08,1.11
710,-1.78,-4.42,1.48
720,-1.65,-4.75,1.74
730,-1.49,-4.93,2.16
740,-1.62,-5.28,2.5
750,-1.39,-5.1,2.85
760,-1.57,-5.41,3.19
770,-1.42,-5.52,3.45
780,-1.42,-5.86,3.75
790,-1.35,-6.12,4.07
800,-1.32,-6.42,4.33
810,-1.4,-6.71,4.52
820,-1.49,-6.96,4.74
830,-1.63,-7.08,4.91
840,-1.81,-7.12,5.1
850,-2.09,-7.18,5.26
860,-2.47,-7.36,5.34
870,-3.04,-7.56,5.5
880,-3.75,-7.69,5.52
890,-4.36,-7.87,5.61
900,-4.62,-8.11,5.79
910,-4.65,-8.43,5.96
920,-4.5,-8.69,6.12
930,-4.27,-8.81,6.23
940,-4.25,-8.85,6.26
950,-4.42,-8.95,6.31
960,-4.6,-9.13,6.31
970,-4.85,-9.24,6.38
980,-5.04,-9.4,6.49
990,-5.14,-9.55,6.54
1000,-5.18,-9.66,6.49
