timestamp,x,y,z
0,-6.26,-7.65,1.56
10,-6.69,-7.46,1.34
20,-7.1,-7.33,0.97
30,-7.51,-7.18,0.44
40,-7.87,-7.07,-0.12
50,-8.18,-6.95,-0.62
60,-8.48,-6.78,-1.12
70,-8.64,-6.62,-1.52
80,-8.74,-6.48,-1.87
90,-8.71,-6.23,-2.05
100,-8.7,-5.83,-2.02
110,-8.66,-5.57,-1.86
120,-8.43,-5.32,-1.71
130,-8.11,-5.15,-1.45
140,-7.73,-4.86,-1.06
150,-7.5,-4.78,-0.73
160,-7.07,-4.54,-0.56
170,-6.74,-4.32,-0.45
180,-6.41,-4.13,-0.38
190,-6.1,-4.03,-0.31
200,-5.69,-3.9,-0.3
210,-5.32,-3.73,-0.4
220,-4.85,-3.78,-0.4
230,-4.57,-4.1,-0.15
240,-3.91,-4.14,0.55
250,-3.81,-4.59,1.15
260,-3.46,-4.79,1.62
270,-3.42,-5.08,1.83
280,-3.35,-5.16,2.04
290,-3.47,-5.34,2.33
300,-3.48,-5.54,2.65
310,-3.55,-5.94,3.04
320,-3.79,-6.33,3.48
330,-4.01,-6.8,3.97
340,-4.33,-7.19,4.46
350,-4.71,-7.68,4.99
360,-5.12,-8.09,5.42
370,-5.46,-8.31,5.88
380,-5.79,-8.41,6.24
390,-6.19,-8.4,6.52
400,-6.65,-8.24,6.7
410,-7.22,-7.95,6.61
420,-7.92,-7.89,6.18
430,-8.71,-7.75,5.58
440,-9.65,-7.29,5.09
450,-10.68,-6.99,4.47
460,-11.47,-7.01,3.73
470,-12.21,-7.26,2.97
480,-12.77,-7.41,2.52
490,-13.32,-7.92,2.08
500,-13.59,-8.17,1.87
510,-13.74,-8.22,1.98
520,-13.8,-7.85,2.2
530,-14.31,-7.37,2.14
540,-14.85,-6.56,2.07
550,-14.97,-5.89,2.06
560,-15.05,-5.65,1.84
570,-15.03,-5.37,1.25
580,-14.99,-5.04,0.41
590,-15.12,-4.5,-0.61
600,-14.93,-4.0,-1.6
610,-14.57,-3.61,-2.47
620,-14.18,-3.14,-3.17
630,-13.51,-2.67,-3.43
640,-12.79,-2.39,-3.51
650,-12.0,-2.13,-3.5
660,-11.15,-1.95,-3.24
670,-10.36,-1.87,-2.97
680,-9.6,-1.82,-2.83
690,-8.81,-1.86,-2.8
700,-8.14,-1.82,-2.74
710,-7.58,-1.69,-2.74
720,-7.06,-1.52,-2.83
730,-6.76,-1.31,-2.79
740,-6.31,-1.31,-2.79
750,-5.86,-1.38,-2.65
760,-5.5,-1.53,-2.28
770,-4.95,-1.61,-1.86
780,-4.53,-1.76,-1.53
790,-4.13,-2.04,-1.21
800,-3.85,-2.24,-0.98
810,-3.55,-2.52,-0.76
820,-3.22,-2.93,-0.51
830,-2.84,-3.37,-0.22
840,-2.46,-3.8,0.07
850,-2.09,-4.13,0.47
860,-1.88,-4.38,0.94
870,-1.8,-4.62,1.27
880,-1.67,-4.78,1.75
890,-1.47,-4.91,2.26
900,-1.41,-5.15,2.72
910,-1.34,-5.38,3.21
920,-1.32,-5.76,3.61
930,-1.38,-6.17,4.02
940,-1.49,-6.7,4.41
950,-1.72,-7.12,4.64
960,-2.09,-7.35,4.8
970,-2.49,-7.46,4.85
980,-2.96,-7.52,4.86
990,-3.51,-7.72,4.86
1000,-3.89,-8.13,4.79
