timestamp,x,y,z
0,-5.47,-7.86,1.8
10,-5.45,-7.81,1.84
20,-5.39,-7.79,1.78
30,-5.38,-7.71,1.71
40,-5.36,-7.64,1.62
50,-5.33,-7.6,1.5
60,-5.29,-7.52,1.46
70,-5.3,-7.42,1.34
80,-5.32,-7.34,1.29
90,-5.37,-7.31,1.28
100,-5.43,-7.27,1.16
110,-5.48,-7.29,1.05
120,-5.49,-7.31,1.04
130,-5.32,-7.34,1.18
140,-5.28,-7.29,1.09
150,-5.03,-7.29,1.15
160,-4.7,-7.18,1.25
170,-4.54,-7.08,1.42
180,-4.33,-6.86,1.62
190,-4.14,-6.73,1.89
200,-4.01,-6.62,2.1
210,-3.85,-6.64,2.32
220,-3.69,-6.69,2.46
230,-3.59,-6.7,2.65
240,-3.45,-6.67,2.76
250,-3.34,-6.52,2.93
260,-3.29,-6.4,2.97
270,-3.18,-6.26,2.97
280,-3.18,-6.21,2.9
290,-3.14,-6.15,2.9
300,-3.06,-6.13,3.01
310,-3.08,-6.11,3.09
320,-3.09,-6.11,3.27
330,-3.2,-6.07,3.48
340,-3.41,-6.0,3.7
350,-3.63,-5.97,3.89
360,-3.8,-5.91,4.07
370,-4.07,-5.91,4.21
380,-4.31,-6.04,4.17
390,-4.53,-6.28,4.16
400,-4.55,-6.32,4.32
410,-4.77,-6.39,4.57
420,-4.9,-6.6,4.99
430,-5.0,-6.82,5.74
440,-5.22,-7.14,6.44
450,-5.36,-7.36,6.97
460,-5.61,-7.5,7.37
470,-5.88,-7.68,7.53
480,-6.08,-7.89,7.64
490,-6.2,-8.03,7.67
500,-6.34,-8.15,7.54
510,-6.45,-8.21,7.35
520,-6.38,-8.12,7.2
530,-6.27,-8.26,7.28
540,-5.99,-8.17,7.44
550,-5.75,-8.13,7.86
560,-5.76,-8.24,8.13
570,-6.07,-8.05,7.88
580,-6.35,-7.81,7.3
590,-6.72,-7.49,6.69
600,-7.01,-7.12,6.09
610,-6.97,-6.96,5.57
620,-7.21,-6.68,5.46
630,-7.41,-6.65,5.18
640,-7.75,-6.4,4.82
650,-8.49,-6.1,4.53
660,-9.24,-5.9,4.31
670,-9.87,-5.96,4.07
680,-10.15,-6.12,3.5
690,-10.22,-6.2,3.03
700,-10.52,-6.52,2.74
710,-10.46,-6.01,2.73
720,-10.66,-5.82,2.79
730,-10.72,-5.63,3.12
740,-11.07,-5.34,3.51
750,-11.32,-5.02,3.83
760,-11.72,-4.71,3.92
770,-12.09,-4.53,3.56
780,-12.42,-4.41,3.16
790,-12.55,-4.32,2.71
800,-12.29,-4.25,2.47
810,-11.74,-4.3,2.43
820,-11.23,-4.22,2.36
830,-10.68,-4.11,2.32
840,-10.21,-3.97,2.21
850,-9.82,-3.82,2.02
860,-9.41,-3.7,1.7
870,-8.97,-3.64,1.08
880,-8.09,-3.3,0.54
890,-8.07,-4.22,-0.11
900,-7.52,-4.27,-0.38
910,-6.9,-4.16,-0.42
920,-6.32,-4.19,-0.48
930,-5.98,-4.25,-0.54
940,-5.63,-4.21,-0.44
950,-5.11,-4.45,-0.11
960,-4.75,-4.63,0.0
970,-4.41,-4.81,0.06
980,-4.0,-4.97,0.12
990,-3.64,-5.12,0.16
1000,-3.35,-5.2,0.19
