timestamp,x,y,z
0,-4.76,-7.37,4.4
10,-4.73,-7.42,4.28
20,-4.84,-7.35,4.22
30,-4.99,-7.25,4.04
40,-5.12,-7.24,3.88
50,-5.27,-7.24,3.77
60,-5.28,-7.22,3.6
70,-5.29,-7.05,3.41
80,-5.34,-6.97,3.23
90,-5.26,-7.26,3.19
100,-5.17,-7.31,3.32
110,-5.12,-7.37,3.31
120,-5.0,-7.13,3.13
130,-4.94,-7.07,3.09
140,-5.0,-6.85,3.1
150,-4.94,-6.75,3.06
160,-4.79,-6.81,3.16
170,-4.69,-6.86,3.22
180,-4.67,-6.84,3.45
190,-4.54,-6.72,3.7
200,-4.45,-6.6,3.72
210,-4.36,-6.46,3.63
220,-4.19,-6.4,3.54
230,-4.06,-6.3,3.39
240,-4.08,-6.36,3.22
250,-3.96,-6.29,3.19
260,-3.96,-6.42,3.18
270,-3.83,-6.33,3.12
280,-3.74,-6.39,3.23
290,-3.63,-6.3,3.28
300,-3.52,-6.23,3.38
310,-3.51,-6.12,3.46
320,-3.55,-6.02,3.51
330,-3.51,-6.0,3.55
340,-3.42,-6.05,3.61
350,-3.36,-6.16,3.69
360,-3.28,-6.25,3.85
370,-3.22,-6.35,4.02
380,-3.17,-6.38,4.13
390,-3.22,-6.34,4.17
400,-3.32,-6.33,4.37
410,-3.54,-6.39,4.41
420,-3.72,-6.5,4.51
430,-4.0,-6.64,4.75
440,-4.27,-6.97,4.55
450,-4.06,-6.61,5.43
460,-4.08,-6.65,6.09
470,-4.41,-6.76,7.16
480,-4.64,-6.6,7.77
490,-4.91,-6.63,7.89
500,-5.19,-6.57,7.74
510,-5.44,-6.63,7.23
520,-5.58,-6.43,6.84
530,-6.32,-6.92,6.57
540,-6.43,-7.0,6.4
550,-6.42,-7.08,6.34
560,-6.76,-6.96,6.51
570,-6.59,-6.9,6.44
580,-6.43,-6.99,6.34
590,-6.28,-7.14,6.17
600,-6.23,-7.0,6.03
610,-6.57,-6.75,5.77
620,-6.92,-6.6,5.59
630,-7.13,-6.49,5.53
640,-7.26,-6.55,5.54
650,-7.28,-6.67,5.8
660,-7.16,-6.79,5.91
670,-7.66,-6.67,6.04
680,-8.14,-6.32,5.82
690,-8.43,-5.97,5.38
700,-8.72,-5.78,4.83
710,-8.86,-5.64,4.13
720,-8.92,-5.57,3.7
730,-9.14,-5.66,3.61
740,-9.39,-5.29,3.52
750,-9.58,-5.31,3.46
760,-9.86,-5.09,3.41
770,-10.19,-4.87,3.25
780,-10.51,-4.61,3.08
790,-10.71,-4.34,2.98
800,-10.84,-4.23,2.83
810,-11.16,-4.28,2.65
820,-10.99,-4.14,2.54
830,-10.89,-4.1,2.22
840,-10.9,-3.98,1.98
850,-10.88,-3.99,1.93
860,-10.79,-3.92,1.98
870,-10.4,-3.81,1.71
880,-10.26,-3.8,1.47
890,-10.17,-3.7,1.18
900,-10.05,-3.49,0.99
910,-9.91,-3.24,0.92
920,-9.83,-3.0,1.0
930,-9.67,-2.95,1.16
940,-9.5,-2.94,1.27
950,-9.51,-3.07,0.91
960,-9.31,-3.1,0.7
970,-9.22,-2.89,0.28
980,-9.26,-3.08,-0.24
990,-9.03,-3.1,-0.32
1000,-8.67,-3.07,-0.26
