timestamp,x,y,z
0,-6.78,-6.68,0.9
10,-6.86,-6.62,0.75
20,-6.87,-6.51,0.68
30,-6.89,-6.45,0.65
40,-6.74,-6.34,0.66
50,-6.65,-6.19,0.74
60,-6.6,-6.02,0.92
70,-6.4,-5.86,1.08
80,-6.26,-5.76,1.19
90,-6.01,-5.63,1.23
100,-5.81,-5.53,1.18
110,-5.59,-5.49,1.18
120,-5.45,-5.39,1.36
130,-5.29,-5.26,1.86
140,-5.09,-5.1,2.45
150,-4.84,-4.86,2.94
160,-4.71,-4.83,3.44
170,-4.49,-4.65,3.78
180,-4.36,-4.58,3.98
190,-4.24,-4.77,4.21
200,-4.31,-5.1,4.31
210,-4.45,-5.27,4.51
220,-4.71,-5.48,4.81
230,-4.95,-5.77,5.09
240,-5.21,-5.94,5.41
250,-5.41,-6.3,6.02
260,-5.68,-6.52,6.57
270,-6.0,-6.77,6.91
280,-6.05,-7.0,7.11
290,-5.99,-7.2,7.07
300,-6.12,-7.42,7.04
310,-6.26,-7.87,6.86
320,-6.61,-7.96,6.62
330,-6.8,-8.04,6.25
340,-6.99,-8.08,5.9
350,-7.46,-8.2,5.66
360,-8.03,-8.33,5.41
370,-8.71,-8.43,5.02
380,-9.21,-8.5,4.44
390,-9.41,-8.56,3.85
400,-9.48,-8.52,3.26
410,-9.47,-8.32,2.82
420,-9.45,-8.12,2.29
430,-9.37,-7.8,1.78
440,-9.5,-7.5,1.15
450,-9.68,-7.37,0.55
460,-9.92,-7.44,0.21
470,-10.07,-7.58,-0.02
480,-10.03,-7.6,-0.15
490,-9.96,-7.22,-0.4
500,-10.09,-6.88,-0.71
510,-10.44,-6.67,-0.51
520,-10.92,-6.27,-0.4
530,-11.96,-5.82,-0.37
540,-12.62,-5.86,-0.56
550,-12.91,-6.42,-0.65
560,-12.95,-6.57,-0.73
570,-12.86,-6.69,-0.67
580,-12.59,-6.56,-0.64
590,-12.42,-6.17,-0.99
600,-12.58,-5.28,-1.54
610,-12.27,-4.55,-2.15
620,-11.87,-3.89,-2.79
630,-11.43,-3.62,-3.16
640,-11.01,-3.42,-3.51
650,-10.51,-3.03,-3.75
660,-9.98,-2.85,-3.92
670,-9.69,-3.13,-3.95
680,-9.37,-3.11,-4.03
690,-8.9,-2.92,-3.95
700,-8.48,-2.77,-3.88
710,-8.24,-2.57,-3.59
720,-8.2,-2.4,-3.21
730,-7.96,-2.26,-2.93
740,-7.98,-2.32,-2.69
750,-7.79,-2.33,-2.58
760,-7.38,-2.55,-2.34
770,-6.93,-2.8,-2.02
780,-6.49,-2.95,-1.96
790,-6.16,-3.04,-1.89
800,-5.97,-3.03,-1.97
810,-5.74,-3.11,-2.05
820,-5.63,-3.1,-2.15
830,-5.48,-3.23,-2.04
840,-5.27,-3.5,-1.96
850,-5.0,-3.88,-1.66
860,-4.56,-4.18,-1.33
870,-4.25,-4.54,-1.19
880,-4.02,-4.75,-1.0
890,-3.81,-4.92,-0.79
900,-3.65,-5.15,-0.52
910,-3.53,-5.33,-0.24
920,-3.53,-5.61,0.12
930,-3.31,-5.96,0.52
940,-3.16,-6.33,0.84
950,-2.97,-6.59,1.14
960,-2.84,-6.67,1.25
970,-2.84,-6.76,1.4
980,-2.76,-6.92,1.63
990,-2.8,-7.19,1.99
1000,-2.8,-7.43,2.34
