timestamp,x,y,z
0,-4.4,-8.68,4.08
10,-4.49,-8.72,4.14
20,-4.49,-8.77,4.12
30,-4.38,-8.89,4.06
40,-4.25,-9.0,4.05
50,-4.15,-9.09,3.96
60,-4.01,-9.18,3.89
70,-3.89,-9.13,3.92
80,-3.84,-9.01,3.96
90,-3.66,-8.95,4.0
100,-3.52,-8.92,3.84
110,-3.37,-8.88,3.65
120,-3.28,-8.78,3.28
130,-3.39,-8.74,3.01
140,-3.67,-8.57,2.84
150,-3.99,-8.36,2.72
160,-4.43,-8.15,2.72
170,-4.87,-7.95,2.83
180,-5.22,-7.77,2.76
190,-5.66,-7.68,2.61
200,-6.36,-7.52,2.29
210,-6.8,-7.49,1.99
220,-7.03,-7.54,1.71
230,-7.15,-7.6,1.54
240,-7.2,-7.62,1.28
250,-7.21,-7.35,1.08
260,-7.11,-6.89,0.89
270,-6.96,-6.64,0.68
280,-6.78,-6.38,0.61
290,-6.59,-6.12,0.53
300,-6.33,-5.96,0.51
310,-6.04,-5.85,0.45
320,-5.65,-5.94,0.43
330,-5.2,-5.95,0.43
340,-4.61,-5.83,0.43
350,-4.3,-5.91,0.3
360,-3.97,-5.73,0.23
370,-3.82,-5.56,0.27
380,-3.66,-5.49,0.47
390,-3.58,-5.42,0.88
400,-3.46,-5.42,1.36
410,-3.32,-5.38,1.88
420,-3.37,-5.37,2.26
430,-3.24,-5.5,2.61
440,-3.18,-5.54,3.02
450,-3.1,-5.72,3.39
460,-3.04,-5.81,3.82
470,-2.99,-5.87,4.18
480,-3.02,-5.96,4.41
490,-3.14,-5.9,4.69
500,-3.22,-5.92,4.99
510,-3.38,-5.79,5.13
520,-3.57,-5.85,5.37
530,-3.68,-6.1,5.63
540,-3.63,-6.48,5.7
550,-3.82,-6.74,5.62
560,-4.18,-6.75,5.59
570,-4.79,-6.6,5.8
580,-5.49,-6.52,6.52
590,-6.01,-6.71,7.22
600,-6.12,-7.45,7.6
610,-5.62,-8.14,7.61
620,-5.45,-8.9,7.4
630,-5.09,-9.37,7.5
640,-4.98,-9.85,7.23
650,-4.97,-9.98,6.91
660,-4.88,-9.95,6.48
670,-4.91,-9.74,6.15
680,-4.87,-9.65,5.74
690,-4.85,-9.57,5.29
700,-5.05,-9.51,4.84
710,-5.58,-9.36,4.64
720,-6.27,-9.33,4.53
730,-6.61,-9.04,4.53
740,-7.1,-8.85,4.6
750,-7.66,-8.61,4.42
760,-7.98,-8.39,4.1
770,-8.43,-8.18,3.71
780,-8.67,-7.79,3.26
790,-8.83,-7.6,2.95
800,-8.86,-7.5,2.68
810,-9.04,-7.13,2.63
820,-9.91,-6.49,2.76
830,-10.97,-5.94,2.88
840,-11.65,-5.84,2.93
850,-11.93,-6.05,2.96
860,-11.94,-6.37,3.08
870,-11.76,-6.53,3.01
880,-11.43,-6.41,2.67
890,-11.37,-6.21,2.34
900,-11.48,-5.77,1.88
910,-11.39,-5.12,1.47
920,-11.46,-4.7,1.14
930,-11.54,-4.3,0.81
940,-11.49,-4.04,0.65
950,-11.28,-3.97,0.45
960,-11.04,-3.89,0.38
970,-10.84,-3.91,0.18
980,-10.67,-3.93,-0.09
990,-10.42,-3.79,-0.2
1000,-10.12,-3.57,-0.17
