timestamp,x,y,z
0,-7.27,-7.21,0.95
10,-7.44,-7.23,0.61
20,-7.6,-7.32,0.34
30,-7.68,-7.34,0.07
40,-7.85,-7.27,-0.13
50,-8.0,-7.13,-0.36
60,-8.09,-6.98,-0.37
70,-8.14,-6.94,-0.47
80,-8.07,-6.82,-0.46
90,-7.97,-6.76,-0.49
100,-7.86,-6.7,-0.57
110,-7.78,-6.56,-0.59
120,-7.71,-6.47,-0.56
130,-7.59,-6.31,-0.54
140,-7.34,-6.19,-0.5
150,-7.14,-6.02,-0.45
160,-6.92,-5.81,-0.21
170,-6.64,-5.65,-0.11
180,-6.4,-5.46,0.07
190,-6.2,-5.28,0.22
200,-5.89,-5.16,0.4
210,-5.52,-5.06,0.56
220,-5.17,-4.98,0.78
230,-4.91,-4.91,1.07
240,-4.59,-4.75,1.35
250,-4.31,-4.59,1.58
260,-4.04,-4.38,1.85
270,-3.77,-4.18,2.08
280,-3.49,-4.02,2.16
290,-3.34,-3.75,2.28
300,-3.1,-3.6,2.54
310,-2.91,-3.58,2.77
320,-2.86,-3.63,3.17
330,-2.92,-3.77,3.67
340,-2.96,-4.19,4.13
350,-3.08,-4.55,4.46
360,-3.26,-4.91,4.81
370,-3.49,-5.18,5.07
380,-3.86,-5.31,5.52
390,-4.26,-5.44,6.16
400,-4.62,-5.63,6.67
410,-4.91,-6.0,7.13
420,-5.06,-6.54,7.51
430,-5.56,-7.11,7.83
440,-5.77,-7.65,7.92
450,-6.24,-8.15,8.1
460,-6.65,-8.52,8.12
470,-7.09,-8.68,8.09
480,-7.53,-8.85,8.02
490,-7.83,-9.07,7.68
500,-8.03,-9.19,7.37
510,-8.28,-9.25,7.21
520,-8.52,-9.23,7.01
530,-8.66,-8.99,6.62
540,-8.81,-8.64,6.1
550,-9.08,-8.16,5.35
560,-9.63,-7.78,4.58
570,-10.02,-7.46,3.74
580,-10.32,-7.26,3.09
590,-10.74,-7.08,2.59
600,-11.03,-7.02,1.95
610,-11.32,-7.07,1.24
620,-11.95,-6.9,0.51
630,-12.71,-6.75,-0.17
640,-13.54,-6.48,-0.72
650,-15.11,-6.34,-1.31
660,-16.48,-6.04,-1.57
670,-17.52,-6.23,-1.81
680,-18.4,-6.19,-1.94
690,-18.81,-6.03,-2.03
700,-18.35,-5.56,-1.95
710,-17.32,-5.37,-1.52
720,-16.18,-4.72,-1.24
730,-14.82,-3.78,-1.04
740,-14.03,-2.9,-0.6
750,-12.74,-2.05,-0.52
760,-11.3,-1.56,-0.9
770,-10.1,-1.41,-1.36
780,-9.21,-1.38,-1.75
790,-8.39,-1.33,-2.14
800,-7.63,-1.14,-2.51
810,-7.21,-1.03,-2.66
820,-6.9,-0.99,-2.74
830,-6.6,-0.94,-2.49
840,-6.35,-0.71,-2.19
850,-5.97,-0.71,-1.73
860,-5.55,-0.85,-1.17
870,-5.25,-1.47,-0.57
880,-4.83,-1.7,-0.18
890,-4.64,-1.86,-0.1
900,-4.38,-2.16,-0.29
910,-4.15,-2.42,-0.56
920,-3.92,-2.84,-0.68
930,-3.77,-3.26,-0.85
940,-3.59,-3.69,-0.68
950,-3.44,-4.06,-0.4
960,-3.41,-4.35,-0.02
970,-3.37,-4.48,0.43
980,-3.24,-4.59,0.95
990,-3.21,-4.77,1.39
1000,-3.22,-4.93,1.84
