timestamp,x,y,z
0,-0.03,-8.13,7.43
10,-0.41,-8.37,7.58
20,-0.9,-8.54,7.6
30,-1.2,-8.73,7.56
40,-1.53,-8.78,7.52
50,-2.07,-8.62,7.24
60,-2.33,-8.38,6.94
70,-2.67,-8.08,6.81
80,-2.8,-7.75,6.56
90,-2.73,-7.54,6.34
100,-2.54,-7.5,6.28
110,-2.31,-7.5,6.32
120,-2.13,-7.62,6.34
130,-1.74,-7.18,6.43
140,-1.55,-7.26,6.32
150,-1.06,-7.01,6.16
160,-0.83,-6.94,5.99
170,-0.35,-6.68,5.66
180,0.06,-6.62,5.83
190,0.47,-6.92,5.68
200,1.04,-6.44,5.73
210,1.77,-5.99,5.78
220,2.04,-6.29,5.68
230,2.74,-6.4,5.29
240,3.3,-5.82,5.06
250,3.57,-5.89,5.23
260,4.16,-5.03,5.14
270,4.92,-4.79,5.26
280,5.11,-4.49,5.7
290,5.94,-4.09,6.26
300,6.63,-3.69,7.41
310,7.15,-3.8,8.56
320,7.44,-4.07,9.57
330,8.2,-4.54,9.94
340,8.33,-4.86,10.33
350,8.03,-4.92,9.8
360,7.34,-5.04,9.37
370,6.51,-5.17,8.82
380,5.84,-5.33,8.55
390,5.01,-5.65,8.66
400,4.42,-6.08,8.83
410,3.77,-6.42,8.79
420,3.15,-6.68,8.68
430,2.23,-6.72,8.14
440,1.36,-6.61,7.46
450,0.79,-6.52,6.67
460,-0.17,-6.36,6.15
470,-1.17,-6.22,5.91
480,-1.71,-6.33,6.23
490,-2.12,-6.59,6.74
500,-2.59,-6.72,6.91
510,-2.47,-6.83,6.73
520,-2.32,-6.9,6.31
530,-2.29,-6.72,5.77
540,-2.84,-6.45,5.15
550,-3.07,-6.15,4.61
560,-3.69,-6.11,4.55
570,-4.35,-5.48,4.68
580,-5.05,-5.58,4.94
590,-6.35,-5.42,5.11
600,-7.49,-5.83,5.53
610,-8.42,-6.25,5.98
620,-9.0,-6.34,5.97
630,-9.53,-5.33,4.51
640,-11.74,-6.93,3.23
650,-11.59,-7.35,4.61
660,-12.0,-7.85,6.47
670,-11.48,-7.92,7.23
680,-9.53,-7.83,7.62
690,-8.81,-7.46,6.55
700,-8.56,-7.26,6.56
710,-8.25,-6.97,6.47
720,-7.59,-6.79,6.11
730,-6.89,-6.56,5.72
740,-6.36,-6.55,5.65
750,-5.81,-6.44,5.61
760,-5.15,-6.5,5.67
770,-4.44,-6.58,6.01
780,-3.68,-6.54,6.27
790,-3.33,-6.36,6.41
800,-2.77,-6.03,6.42
810,-2.56,-5.89,6.9
820,-1.88,-5.93,7.07
830,-1.12,-5.99,7.02
840,-0.62,-6.11,7.22
850,-0.07,-6.22,7.32
860,0.43,-6.33,7.35
870,0.75,-6.36,7.13
880,1.07,-6.31,6.99
890,1.45,-6.41,6.91
900,1.66,-6.2,6.56
910,1.5,-6.14,6.63
920,1.57,-6.18,6.96
930,1.93,-6.63,7.22
940,2.41,-7.01,7.21
950,2.26,-7.24,7.44
960,2.01,-7.36,7.44
970,1.84,-7.3,7.16
980,1.35,-7.21,6.98
990,1.12,-7.16,6.89
1000,1.22,-7.29,6.68
