timestamp,x,y,z
0,-9.22,-6.91,3.86
10,-8.6,-6.82,3.92
20,-7.82,-6.7,3.81
30,-7.18,-6.62,3.69
40,-6.37,-6.54,3.39
50,-5.55,-6.52,3.17
60,-4.67,-6.57,2.88
70,-3.78,-6.66,2.76
80,-2.98,-6.61,2.78
90,-2.15,-6.5,3.09
100,-1.43,-6.38,3.73
110,-0.85,-6.24,4.32
120,-0.32,-6.22,4.71
130,0.32,-6.26,4.8
140,1.01,-6.36,4.7
150,1.31,-6.29,4.48
160,2.12,-6.22,4.47
170,2.36,-6.12,4.7
180,2.73,-6.01,4.97
190,3.1,-6.0,5.55
200,3.38,-6.1,6.25
210,3.69,-6.23,6.88
220,3.95,-6.39,7.35
230,4.31,-6.47,7.66
240,4.44,-6.52,7.91
250,4.52,-6.61,8.03
260,4.39,-6.7,8.01
270,4.16,-6.82,7.9
280,3.84,-6.88,7.75
290,3.26,-6.96,7.67
300,2.73,-7.08,7.59
310,2.15,-7.14,7.51
320,1.76,-7.17,7.4
330,1.27,-7.19,7.18
340,0.98,-7.15,7.03
350,0.46,-7.03,6.88
360,0.02,-6.93,6.87
370,-0.63,-6.73,6.95
380,-1.38,-6.53,6.86
390,-2.1,-6.44,6.81
400,-2.62,-6.48,6.8
410,-3.18,-6.46,6.78
420,-3.59,-6.53,6.68
430,-4.0,-6.53,6.63
440,-4.36,-6.45,6.49
450,-4.91,-6.39,6.14
460,-5.64,-5.83,5.79
470,-6.7,-5.66,5.34
480,-7.45,-5.49,4.95
490,-7.85,-5.54,4.8
500,-8.08,-5.7,4.91
510,-8.21,-5.93,4.97
520,-8.67,-6.07,4.89
530,-9.35,-6.02,4.66
540,-9.97,-5.99,4.49
550,-10.53,-5.88,4.35
560,-10.94,-6.0,4.07
570,-11.14,-6.58,3.71
580,-11.38,-6.93,3.29
590,-11.77,-7.15,3.03
600,-11.5,-7.25,3.5
610,-10.87,-6.73,4.31
620,-10.11,-6.28,4.9
630,-9.52,-5.65,4.85
640,-9.2,-5.29,4.51
650,-8.03,-5.6,4.23
660,-7.15,-5.75,4.05
670,-6.11,-5.99,4.12
680,-5.28,-6.21,4.35
690,-4.64,-6.45,4.91
700,-3.9,-6.68,5.38
710,-3.29,-6.84,6.07
720,-2.87,-6.85,6.49
730,-2.42,-6.74,6.72
740,-1.91,-6.57,6.94
750,-1.54,-6.38,7.15
760,-1.32,-6.15,7.35
770,-0.96,-6.08,7.54
780,-0.55,-6.13,7.47
790,-0.03,-6.31,7.51
800,0.11,-6.37,7.6
810,0.62,-6.31,7.77
820,0.8,-6.17,7.62
830,1.19,-6.09,7.74
840,1.41,-5.89,7.65
850,1.58,-5.89,7.76
860,1.87,-5.93,7.79
870,1.99,-6.03,7.61
880,2.03,-6.1,7.5
890,2.0,-6.22,7.35
900,1.85,-6.34,7.18
910,1.51,-6.46,6.9
920,1.23,-6.67,6.66
930,0.97,-6.84,6.52
940,0.73,-7.02,6.53
950,0.38,-7.18,6.47
960,-0.01,-7.33,6.5
970,-0.29,-7.42,6.52
980,-0.4,-7.59,6.55
990,-1.02,-7.66,6.51
1000,-1.21,-7.68,6.56
