timestamp,x,y,z
0,-6.43,-7.12,5.58
10,-6.31,-7.08,5.57
20,-6.29,-6.98,5.71
30,-6.1,-7.08,5.82
40,-5.79,-7.0,5.91
50,-5.71,-6.96,6.05
60,-5.5,-6.9,5.98
70,-5.4,-6.83,5.87
80,-5.25,-6.71,5.77
90,-5.35,-6.67,5.6
100,-5.67,-6.55,5.27
110,-5.84,-6.44,5.15
120,-5.87,-6.55,5.32
130,-5.26,-6.8,5.4
140,-4.65,-7.01,5.42
150,-4.24,-7.1,5.32
160,-3.99,-7.04,5.06
170,-3.47,-6.86,4.73
180,-3.12,-6.76,4.54
190,-2.94,-6.76,4.48
200,-1.89,-5.99,4.42
210,-1.44,-6.38,4.4
220,-0.93,-6.37,4.69
230,-0.31,-6.47,4.86
240,0.37,-6.63,4.94
250,0.91,-6.74,4.91
260,1.3,-6.78,4.83
270,1.89,-6.73,4.69
280,2.03,-6.86,4.75
290,2.74,-6.65,4.68
300,3.1,-6.58,4.96
310,3.48,-6.64,5.1
320,4.0,-6.73,5.17
330,4.53,-6.76,5.35
340,5.12,-6.79,5.54
350,5.72,-6.65,5.71
360,5.95,-6.6,5.85
370,6.24,-6.51,6.05
380,6.47,-6.54,6.23
390,6.49,-6.54,6.47
400,6.52,-6.4,6.6
410,6.39,-6.46,6.68
420,6.19,-6.41,6.66
430,5.77,-6.48,6.65
440,5.2,-6.52,6.78
450,4.41,-6.66,6.81
460,3.34,-6.95,6.71
470,2.41,-7.23,6.57
480,1.77,-7.01,6.52
490,0.82,-6.93,6.45
500,-0.27,-6.93,6.51
510,-1.31,-6.91,6.72
520,-1.81,-6.85,6.91
530,-2.15,-6.79,7.19
540,-2.38,-6.88,7.23
550,-2.33,-7.11,7.14
560,-2.38,-7.0,7.22
570,-3.11,-6.97,7.31
580,-4.03,-6.74,7.37
590,-4.89,-6.62,7.45
600,-5.16,-6.45,7.58
610,-5.74,-6.42,7.56
620,-5.81,-6.34,7.49
630,-5.54,-6.34,7.3
640,-4.86,-6.15,7.11
650,-4.64,-5.79,6.95
660,-5.3,-5.72,6.71
670,-6.52,-5.03,6.79
680,-7.14,-5.24,6.68
690,-7.72,-5.92,6.73
700,-7.96,-6.35,6.71
710,-7.94,-6.63,6.77
720,-7.92,-6.73,6.92
730,-8.04,-6.92,6.77
740,-8.09,-6.8,6.71
750,-7.87,-6.47,6.51
760,-7.43,-6.55,6.38
770,-7.21,-6.64,6.47
780,-7.08,-7.18,6.5
790,-6.26,-6.44,6.84
800,-5.78,-6.45,7.02
810,-5.45,-6.63,7.13
820,-5.08,-6.54,7.18
830,-4.69,-6.14,7.12
840,-4.47,-6.03,7.03
850,-3.91,-6.1,6.83
860,-2.98,-6.06,6.68
870,-2.31,-6.2,6.57
880,-1.81,-6.12,6.58
890,-1.77,-6.23,6.76
900,-0.9,-5.9,7.12
910,-0.47,-6.16,6.59
920,-1.35,-7.01,6.89
930,-1.12,-6.85,6.83
940,0.14,-6.63,7.4
950,0.59,-6.63,7.93
960,0.96,-6.66,8.29
970,1.7,-6.62,7.81
980,2.0,-6.68,7.69
990,2.61,-6.72,7.39
1000,2.85,-6.81,7.24
