timestamp,x,y,z
0,-4.32,-8.23,3.72
10,-4.33,-8.27,3.62
20,-4.32,-8.39,3.55
30,-4.26,-8.46,3.54
40,-4.2,-8.47,3.44
50,-4.13,-8.43,3.35
60,-4.04,-8.37,3.3
70,-3.93,-8.31,3.17
80,-3.82,-8.2,3.02
90,-3.7,-8.1,2.9
100,-3.56,-8.02,2.86
110,-3.45,-7.89,2.75
120,-3.39,-7.75,2.7
130,-3.27,-7.67,2.63
140,-3.15,-7.54,2.5
150,-3.04,-7.38,2.34
160,-2.87,-7.29,2.15
170,-2.7,-7.17,2.08
180,-2.63,-7.06,1.94
190,-2.31,-6.95,2.03
200,-1.98,-6.89,2.19
210,-1.92,-6.64,2.5
220,-1.76,-6.26,2.68
230,-1.61,-5.96,2.72
240,-1.48,-5.58,2.42
250,-1.3,-5.19,2.06
260,-1.23,-5.07,1.98
270,-1.82,-4.99,1.8
280,-2.5,-4.75,1.44
290,-2.82,-4.82,1.44
300,-2.97,-4.99,1.8
310,-3.31,-5.17,2.34
320,-3.33,-5.25,2.76
330,-3.52,-5.21,3.04
340,-3.63,-4.99,3.16
350,-3.88,-4.56,3.05
360,-4.28,-4.22,2.99
370,-4.6,-4.3,3.16
380,-4.85,-4.49,3.75
390,-5.24,-4.7,4.87
400,-5.59,-4.78,6.01
410,-5.71,-4.73,6.94
420,-5.48,-4.13,7.54
430,-5.98,-3.27,8.11
440,-7.3,-3.11,8.18
450,-8.27,-3.2,8.22
460,-9.07,-3.74,8.33
470,-10.25,-4.13,8.64
480,-24.9,-8.15,24.04
490,-12.65,-5.6,12.61
500,-8.79,-9.02,9.96
510,-8.73,-7.78,8.68
520,-9.01,-6.79,7.56
530,-9.65,-5.7,5.68
540,-9.91,-6.18,4.87
550,-7.96,-7.78,5.51
560,-8.66,-9.47,6.96
570,-10.43,-10.9,8.33
580,-10.06,-10.68,7.85
590,-10.31,-10.45,7.73
600,-10.83,-10.14,8.07
610,-10.77,-9.32,7.79
620,-10.31,-8.73,7.64
630,-9.95,-8.18,7.52
640,-9.48,-7.65,7.47
650,-8.72,-7.4,7.6
660,-8.18,-7.18,7.35
670,-7.46,-7.01,7.2
680,-6.71,-6.89,6.8
690,-6.07,-6.97,6.52
700,-5.62,-7.04,6.23
710,-5.34,-6.98,5.94
720,-4.91,-6.88,5.6
730,-4.5,-6.73,4.96
740,-4.04,-6.54,4.58
750,-3.83,-6.05,4.21
760,-3.32,-6.44,3.93
770,-2.41,-6.39,3.8
780,-1.87,-6.45,3.53
790,-1.17,-6.41,3.08
800,-0.64,-6.36,2.67
810,-0.12,-5.99,2.31
820,0.4,-5.61,2.03
830,0.4,-5.27,2.06
840,0.37,-4.88,2.26
850,0.41,-4.75,2.29
860,0.55,-4.85,2.36
870,0.61,-4.95,2.36
880,0.7,-5.17,2.33
890,0.82,-5.41,2.24
900,0.83,-5.62,2.19
910,0.69,-5.72,2.08
920,0.51,-5.78,1.99
930,0.17,-5.8,1.84
940,-0.2,-5.88,1.78
950,-0.54,-6.16,1.66
960,-0.85,-6.46,1.62
970,-1.17,-6.86,1.64
980,-1.45,-7.24,1.69
990,-1.58,-7.58,1.83
1000,-1.73,-7.92,1.95
