timestamp,x,y,z
0,-4.42,-7.38,3.87
10,-4.4,-7.43,3.87
20,-4.36,-7.45,3.85
30,-4.33,-7.46,3.9
40,-4.29,-7.47,3.89
50,-4.27,-7.45,3.94
60,-4.24,-7.48,3.97
70,-4.24,-7.48,4.09
80,-4.27,-7.51,4.24
90,-4.21,-7.5,4.32
100,-4.18,-7.48,4.44
110,-4.15,-7.53,4.55
120,-4.07,-7.52,4.53
130,-3.95,-7.51,4.36
140,-3.79,-7.47,4.26
150,-3.7,-7.52,4.12
160,-3.69,-7.5,3.99
170,-3.65,-7.52,3.94
180,-3.64,-7.51,4.01
190,-3.7,-7.46,4.07
200,-3.72,-7.42,4.12
210,-3.82,-7.41,4.04
220,-3.84,-7.39,3.97
230,-3.77,-7.45,3.91
240,-3.7,-7.48,3.8
250,-3.64,-7.42,3.74
260,-3.51,-7.34,3.68
270,-3.34,-7.23,3.61
280,-3.16,-7.14,3.56
290,-3.07,-6.99,3.49
300,-2.98,-6.84,3.55
310,-2.95,-6.69,3.39
320,-2.87,-6.57,3.38
330,-2.82,-6.46,3.45
340,-2.82,-6.29,3.55
350,-2.84,-6.11,3.68
360,-2.82,-5.93,3.79
370,-2.89,-5.73,3.88
380,-2.99,-5.39,3.95
390,-3.15,-5.16,3.98
400,-3.16,-5.08,4.11
410,-3.3,-5.11,4.31
420,-3.43,-5.05,4.74
430,-3.57,-5.13,5.22
440,-3.71,-4.77,5.71
450,-3.85,-4.65,6.29
460,-4.02,-4.66,6.74
470,-4.2,-4.37,7.05
480,-4.32,-4.2,7.28
490,-4.4,-4.03,7.81
500,-4.46,-3.93,8.3
510,-4.44,-3.76,8.64
520,-4.51,-3.64,9.03
530,-4.66,-3.39,9.31
540,-4.53,-3.2,9.76
550,-4.7,-3.18,10.36
560,-4.79,-2.82,10.6
570,-4.83,-2.88,11.0
580,-4.87,-2.79,11.24
590,-4.8,-2.69,11.23
600,-4.9,-2.73,11.38
610,-5.48,-3.24,13.65
620,-6.33,-3.55,14.88
630,-5.79,-3.38,13.46
640,-4.69,-3.12,12.0
650,-4.63,-2.73,11.2
660,-4.7,-2.83,11.44
670,-4.56,-3.01,10.96
680,-4.19,-3.5,10.41
690,-4.25,-3.63,10.66
700,-4.46,-3.76,11.13
710,-4.68,-3.69,11.41
720,-4.71,-3.59,11.44
730,-4.67,-3.55,11.57
740,-4.4,-3.6,11.36
750,-4.27,-3.64,11.04
760,-4.29,-3.46,10.68
770,-4.35,-3.56,10.37
780,-4.2,-3.83,10.19
790,-4.3,-4.11,10.02
800,-4.31,-4.38,9.84
810,-4.21,-4.76,9.6
820,-4.11,-5.02,9.28
830,-4.0,-5.27,8.98
840,-3.92,-5.47,8.72
850,-3.76,-5.51,8.45
860,-3.59,-5.53,8.14
870,-3.43,-5.53,7.76
880,-3.22,-5.59,7.3
890,-2.95,-5.65,6.81
900,-2.6,-5.78,6.37
910,-2.43,-5.84,5.93
920,-2.04,-5.91,5.4
930,-1.84,-6.05,5.2
940,-1.64,-6.17,4.81
950,-1.45,-6.22,4.5
960,-1.44,-6.34,4.34
970,-1.22,-6.33,4.15
980,-1.18,-6.28,4.03
990,-1.05,-6.27,3.95
1000,-1.03,-6.28,3.84
