timestamp,x,y,z
0,-3.63,-7.76,4.22
10,-3.56,-7.78,4.32
20,-3.46,-7.78,4.3
30,-3.63,-7.7,4.3
40,-3.61,-7.65,4.29
50,-3.48,-7.62,4.23
60,-3.58,-7.61,4.15
70,-3.39,-7.57,4.08
80,-3.43,-7.54,3.97
90,-3.35,-7.49,3.82
100,-3.38,-7.51,3.73
110,-3.29,-7.51,3.56
120,-3.19,-7.54,3.45
130,-3.17,-7.55,3.31
140,-3.05,-7.52,3.21
150,-2.99,-7.49,3.11
160,-2.94,-7.42,2.89
170,-2.93,-7.33,2.68
180,-2.92,-7.15,2.53
190,-2.91,-7.03,2.48
200,-2.97,-6.89,2.46
210,-2.97,-6.68,2.43
220,-2.93,-6.51,2.42
230,-2.91,-6.39,2.34
240,-2.93,-6.32,2.28
250,-2.88,-6.25,2.26
260,-2.9,-6.27,2.24
270,-2.88,-6.19,2.17
280,-3.02,-6.17,2.14
290,-3.29,-6.05,2.13
300,-3.56,-5.98,2.23
310,-3.78,-5.91,2.7
320,-4.17,-5.87,3.48
330,-4.58,-5.73,4.04
340,-4.64,-5.65,4.29
350,-4.58,-5.55,4.28
360,-4.63,-5.43,4.17
370,-5.09,-5.32,3.91
380,-3.89,-5.38,4.68
390,-3.5,-5.44,4.89
400,-3.19,-5.5,5.03
410,-2.82,-5.02,5.03
420,-3.1,-4.47,4.95
430,-3.38,-3.91,4.75
440,-3.76,-3.44,4.78
450,-4.32,-3.3,5.15
460,-5.14,-3.39,5.82
470,-5.53,-3.56,6.57
480,-5.91,-3.84,7.35
490,-6.51,-4.02,7.94
500,-7.09,-4.0,8.28
510,-7.86,-3.94,8.59
520,-8.54,-3.78,8.77
530,-9.23,-3.71,8.84
540,-9.84,-3.78,9.04
550,-10.34,-4.08,9.23
560,-28.48,-8.4,22.62
570,-11.56,-8.47,13.89
580,-9.62,-5.99,8.5
590,-9.84,-4.81,8.99
600,-10.47,-4.42,7.77
610,-12.13,-4.15,7.0
620,-12.77,-6.39,10.27
630,-10.81,-7.07,10.39
640,-10.08,-6.86,10.41
650,-10.38,-6.68,10.53
660,-10.23,-6.3,10.3
670,-9.4,-6.02,10.27
680,-8.66,-5.67,10.09
690,-7.98,-5.29,9.9
700,-7.42,-5.05,9.71
710,-6.98,-4.9,9.34
720,-6.25,-4.81,9.09
730,-5.62,-4.89,8.54
740,-5.11,-4.9,8.15
750,-4.36,-4.88,7.64
760,-3.76,-4.93,7.17
770,-3.29,-5.06,6.83
780,-3.0,-5.18,6.39
790,-2.65,-5.2,6.09
800,-2.32,-5.28,5.6
810,-1.99,-5.35,5.3
820,-1.88,-5.53,5.0
830,-1.59,-5.65,4.71
840,-1.37,-5.52,4.2
850,-1.31,-5.53,3.77
860,-1.21,-5.7,3.56
870,-1.13,-5.74,3.33
880,-1.04,-5.72,2.98
890,-0.87,-5.64,2.51
900,-0.82,-5.65,2.15
910,-0.68,-5.68,2.05
920,-0.67,-5.76,1.87
930,-0.5,-5.91,1.77
940,-0.45,-5.98,1.72
950,-0.37,-6.1,1.64
960,-0.29,-6.41,1.62
970,-0.32,-6.4,1.69
980,-0.4,-6.42,1.47
990,-0.26,-6.44,1.03
1000,-0.38,-6.51,0.97
