timestamp,x,y,z
0,-4.68,-7.52,4.79
10,-4.63,-7.48,4.66
20,-4.68,-7.47,4.47
30,-4.85,-7.44,4.27
40,-4.91,-7.49,4.08
50,-5.02,-7.59,3.92
60,-4.95,-7.73,3.78
70,-4.81,-7.86,3.73
80,-4.61,-7.89,3.67
90,-4.45,-7.81,3.46
100,-4.16,-7.71,3.31
110,-3.95,-7.54,3.11
120,-3.81,-7.39,2.87
130,-3.47,-7.3,2.76
140,-3.25,-7.25,2.64
150,-2.86,-7.23,2.47
160,-2.49,-7.18,2.24
170,-2.15,-7.12,2.1
180,-1.66,-7.02,2.11
190,-1.43,-6.78,1.71
200,-1.11,-6.45,1.44
210,-1.2,-5.87,0.84
220,-1.05,-5.45,0.53
230,-0.68,-5.5,0.76
240,-0.75,-5.56,1.37
250,-1.34,-5.4,1.72
260,-2.01,-5.17,2.27
270,-2.43,-5.01,3.22
280,-2.96,-4.59,4.09
290,-3.33,-4.46,4.92
300,-3.05,-4.32,5.34
310,-4.78,-3.99,5.79
320,-5.03,-3.72,5.94
330,-4.93,-3.57,5.15
340,-5.17,-3.71,5.26
350,-4.98,-3.87,5.78
360,-5.26,-3.96,6.54
370,-5.44,-4.22,7.25
380,-5.65,-4.26,7.5
390,-6.22,-4.31,7.26
400,-6.37,-4.27,6.92
410,-6.42,-4.14,6.95
420,-6.34,-4.02,7.09
430,-6.27,-3.83,7.49
440,-6.53,-3.53,8.09
450,-6.98,-3.13,8.33
460,-7.17,-2.9,8.94
470,-7.61,-2.99,9.66
480,-8.09,-3.19,10.13
490,-8.49,-3.48,10.4
500,-8.86,-3.85,10.64
510,-9.22,-4.21,10.91
520,-9.46,-4.42,10.95
530,-9.7,-4.61,11.17
540,-9.75,-4.61,11.13
550,-9.67,-4.5,10.98
560,-9.41,-4.53,11.21
570,-9.09,-4.41,11.24
580,-8.79,-4.17,11.25
590,-8.56,-4.0,11.62
600,-8.43,-3.83,11.83
610,-8.26,-3.67,11.78
620,-7.89,-3.61,11.8
630,-7.46,-3.61,11.7
640,-7.15,-3.56,11.43
650,-6.68,-3.6,11.03
660,-6.23,-3.56,10.48
670,-6.07,-3.45,9.98
680,-5.74,-3.43,9.27
690,-5.26,-3.65,8.58
700,-4.73,-3.98,8.05
710,-4.21,-4.3,7.53
720,-3.84,-4.58,6.97
730,-3.56,-4.81,6.57
740,-3.28,-4.87,6.2
750,-3.03,-4.82,5.91
760,-2.85,-4.71,5.36
770,-2.5,-4.83,4.99
780,-2.13,-4.86,4.67
790,-2.01,-4.93,4.12
800,-1.69,-5.01,3.4
810,-1.26,-5.34,3.09
820,-0.81,-5.55,2.73
830,-0.47,-5.99,2.8
840,-0.59,-6.35,3.05
850,-0.76,-6.74,3.49
860,-0.88,-6.76,3.79
870,-1.09,-6.74,3.68
880,-1.21,-6.28,3.16
890,-1.4,-5.88,2.72
900,-1.43,-5.73,2.29
910,-1.69,-5.81,2.21
920,-1.55,-6.01,2.19
930,-1.76,-6.13,1.92
940,-1.97,-6.28,1.8
950,-1.79,-6.5,1.87
960,-1.9,-6.71,1.97
970,-2.12,-6.91,2.03
980,-2.25,-7.01,1.91
990,-2.32,-7.15,1.98
1000,-2.23,-7.34,2.15
