timestamp,x,y,z
0,-5.65,-7.87,3.32
10,-5.79,-7.96,3.36
20,-5.86,-8.12,3.49
30,-5.87,-8.21,3.63
40,-5.75,-8.22,3.67
50,-5.5,-8.12,3.6
60,-5.27,-7.97,3.51
70,-5.0,-7.79,3.39
80,-4.74,-7.64,3.34
90,-4.55,-7.52,3.27
100,-4.42,-7.42,3.23
110,-4.26,-7.28,3.13
120,-4.14,-7.2,2.99
130,-3.96,-7.17,2.98
140,-3.73,-7.18,2.9
150,-3.57,-7.12,2.72
160,-3.45,-7.07,2.63
170,-3.29,-7.03,2.57
180,-3.22,-6.96,2.48
190,-3.12,-6.87,2.39
200,-3.13,-6.81,2.29
210,-3.03,-6.74,2.16
220,-2.94,-6.7,2.07
230,-2.91,-6.68,2.02
240,-2.86,-6.64,1.93
250,-2.85,-6.61,1.83
260,-2.83,-6.53,1.81
270,-2.82,-6.45,1.8
280,-2.67,-6.35,1.82
290,-2.59,-6.22,1.81
300,-2.49,-6.01,1.8
310,-2.4,-5.81,1.77
320,-2.44,-5.56,1.69
330,-2.43,-5.19,1.75
340,-2.79,-4.83,1.93
350,-3.41,-4.4,2.05
360,-3.95,-4.19,2.38
370,-4.28,-4.41,2.5
380,-4.37,-4.87,2.8
390,-4.69,-5.35,3.08
400,-5.24,-5.66,3.4
410,-5.58,-5.87,3.63
420,-5.78,-5.91,3.92
430,-6.14,-5.93,4.18
440,-6.13,-5.87,4.59
450,-6.16,-5.75,4.84
460,-6.21,-5.66,5.07
470,-6.48,-5.55,5.28
480,-6.72,-5.49,5.56
490,-7.14,-5.45,5.83
500,-7.58,-5.61,6.23
510,-8.04,-5.65,6.54
520,-8.39,-5.69,7.01
530,-8.84,-5.44,7.47
540,-9.52,-5.33,7.88
550,-10.24,-5.24,8.2
560,-10.66,-5.24,8.65
570,-11.12,-5.55,9.01
580,-11.56,-5.79,9.19
590,-11.77,-6.04,9.23
600,-12.04,-6.23,9.05
610,-12.21,-6.36,8.69
620,-12.22,-6.62,8.33
630,-12.21,-6.8,7.99
640,-12.32,-7.06,7.83
650,-12.23,-7.23,7.69
660,-12.04,-7.28,7.49
670,-11.66,-7.1,7.11
680,-11.2,-6.97,6.68
690,-10.64,-6.82,6.42
700,-9.96,-6.7,6.42
710,-9.31,-6.62,6.46
720,-8.67,-6.51,6.19
730,-8.03,-6.39,5.92
740,-7.4,-6.31,5.76
750,-6.83,-6.17,5.54
760,-6.24,-6.23,5.27
770,-5.83,-6.26,4.82
780,-5.4,-6.31,4.44
790,-4.97,-6.34,4.02
800,-4.56,-6.47,3.75
810,-4.09,-6.59,3.51
820,-3.68,-6.6,3.22
830,-3.23,-6.56,3.06
840,-2.93,-6.53,2.86
850,-2.65,-6.51,2.48
860,-2.46,-6.54,2.2
870,-2.15,-6.55,2.01
880,-1.86,-6.63,1.84
890,-1.58,-6.64,1.63
900,-1.29,-6.68,1.42
910,-1.17,-6.9,1.3
920,-0.86,-7.03,1.18
930,-0.74,-7.11,0.97
940,-0.82,-7.18,0.89
950,-1.07,-6.95,0.56
960,-1.14,-6.67,0.15
970,-1.15,-6.5,0.14
980,-1.38,-6.39,-0.01
990,-1.14,-6.39,-0.1
1000,-0.78,-6.49,-0.02
