timestamp,x,y,z
0,-1.12,-8.13,5.59
10,-1.28,-8.08,5.59
20,-1.33,-8.06,5.51
30,-1.37,-8.0,5.46
40,-1.36,-7.96,5.29
50,-1.25,-7.91,5.04
60,-1.09,-7.84,4.81
70,-0.83,-7.7,4.48
80,-0.62,-7.57,4.23
90,-0.37,-7.36,4.01
100,-0.24,-7.14,3.84
110,-0.12,-6.86,3.64
120,-0.03,-6.63,3.65
130,-0.05,-6.4,3.56
140,-0.13,-6.05,3.3
150,-0.14,-5.75,3.1
160,-0.21,-5.36,2.92
170,-0.33,-4.96,2.84
180,-0.38,-4.6,2.7
190,-0.39,-4.32,2.47
200,-0.71,-4.27,2.78
210,-0.36,-4.18,2.62
220,-0.21,-4.07,2.75
230,-0.22,-4.0,2.95
240,-0.1,-3.77,3.1
250,-0.31,-3.51,3.45
260,-0.62,-3.33,3.93
270,-0.62,-3.42,4.29
280,-0.66,-3.6,4.9
290,-0.79,-3.94,5.93
300,-0.86,-4.3,6.25
310,-1.71,-4.7,7.23
320,-1.98,-5.16,7.75
330,-2.19,-5.58,8.49
340,-2.32,-5.95,8.9
350,-2.93,-6.28,9.94
360,-3.03,-6.76,10.7
370,-4.09,-7.33,11.52
380,-4.41,-7.89,12.03
390,-4.66,-8.38,12.29
400,-4.88,-8.55,12.43
410,-5.18,-8.58,12.71
420,-5.39,-8.5,13.02
430,-5.68,-8.39,13.5
440,-5.99,-8.28,13.85
450,-6.33,-8.29,13.88
460,-6.4,-8.36,13.78
470,-6.41,-8.4,13.6
480,-6.25,-8.38,13.37
490,-6.1,-8.34,13.09
500,-5.92,-8.14,12.92
510,-6.05,-7.82,12.63
520,-5.99,-7.52,12.37
530,-5.91,-7.27,12.46
540,-5.54,-7.11,12.27
550,-5.46,-7.01,12.01
560,-5.15,-6.91,11.68
570,-4.83,-6.66,11.25
580,-4.55,-6.4,11.05
590,-4.22,-6.08,10.84
600,-3.72,-5.76,10.62
610,-3.42,-5.52,10.34
620,-3.05,-5.33,9.85
630,-2.63,-5.21,9.31
640,-2.17,-5.15,8.71
650,-1.73,-5.15,8.02
660,-1.32,-5.09,7.82
670,-1.07,-4.97,7.36
680,-0.94,-4.86,6.94
690,-0.79,-4.79,6.59
700,-0.62,-4.8,6.03
710,-0.14,-4.75,5.83
720,-0.04,-4.8,5.55
730,-0.06,-4.78,5.26
740,0.17,-4.76,4.87
750,0.35,-4.88,4.52
760,0.54,-4.92,4.26
770,0.55,-4.97,3.95
780,0.51,-5.03,3.59
790,0.61,-5.15,3.29
800,0.71,-5.23,2.99
810,0.62,-5.4,2.77
820,0.65,-5.52,2.55
830,0.6,-5.62,2.34
840,0.58,-5.82,2.17
850,0.54,-5.99,1.99
860,0.46,-6.28,1.81
870,0.43,-6.47,1.81
880,0.28,-6.52,1.9
890,0.14,-6.66,2.15
900,0.1,-6.8,2.32
910,-0.04,-6.91,2.52
920,-0.28,-7.03,2.81
930,-0.37,-7.22,2.87
940,-0.39,-7.36,3.02
950,-0.65,-7.5,3.21
960,-0.64,-7.63,3.4
970,-0.71,-7.78,3.51
980,-0.83,-7.86,3.63
990,-0.88,-7.99,3.78
1000,-0.99,-8.1,4.04
