timestamp,x,y,z
0,-3.16,-7.82,4.33
10,-3.17,-7.83,4.26
20,-3.18,-7.84,4.25
30,-3.22,-7.84,4.2
40,-3.25,-7.84,4.18
50,-3.26,-7.86,4.14
60,-3.27,-7.9,4.12
70,-3.25,-7.95,4.09
80,-3.28,-7.93,4.06
90,-3.22,-7.91,4.06
100,-3.18,-7.89,4.01
110,-3.14,-7.82,4.01
120,-3.12,-7.79,4.02
130,-3.07,-7.77,3.96
140,-3.05,-7.75,3.91
150,-3.0,-7.77,3.88
160,-2.94,-7.76,3.79
170,-2.9,-7.77,3.81
180,-2.88,-7.74,3.8
190,-2.88,-7.74,3.82
200,-2.87,-7.84,3.82
210,-2.85,-7.53,3.75
220,-2.81,-7.62,3.69
230,-2.8,-7.58,3.57
240,-2.83,-7.56,3.59
250,-2.89,-7.52,3.5
260,-3.0,-7.44,3.44
270,-3.22,-7.39,3.36
280,-3.47,-7.35,3.19
290,-3.63,-7.34,3.11
300,-3.72,-7.33,3.03
310,-3.69,-7.22,2.91
320,-3.6,-7.02,2.95
330,-3.49,-6.64,3.08
340,-3.28,-6.33,3.25
350,-2.95,-5.86,3.34
360,-2.64,-5.48,3.52
370,-2.38,-5.12,3.66
380,-2.19,-4.75,3.84
390,-2.1,-4.52,4.04
400,-2.06,-4.31,4.29
410,-2.16,-4.17,4.5
420,-2.27,-4.05,4.68
430,-2.48,-3.99,4.93
440,-2.6,-3.98,5.18
450,-2.72,-4.01,5.4
460,-2.77,-4.09,5.6
470,-3.05,-4.23,5.77
480,-3.44,-4.43,5.91
490,-3.88,-4.68,6.18
500,-4.12,-4.86,6.59
510,-4.36,-5.18,6.98
520,-4.45,-5.45,7.32
530,-4.83,-5.45,7.71
540,-5.79,-5.2,8.12
550,-6.46,-5.09,8.46
560,-7.05,-5.09,8.98
570,-7.47,-5.21,9.42
580,-7.65,-5.39,9.58
590,-7.78,-5.6,9.77
600,-8.75,-5.66,9.99
610,-14.98,-10.01,19.63
620,-8.82,-7.78,13.86
630,-7.82,-6.68,11.2
640,-8.81,-5.76,9.95
650,-7.67,-5.56,9.87
660,-8.15,-4.54,7.95
670,-7.62,-5.37,8.37
680,-6.85,-6.44,8.99
690,-6.9,-6.99,9.15
700,-7.3,-7.3,9.65
710,-7.72,-7.4,10.05
720,-7.7,-7.27,10.08
730,-7.56,-7.06,9.98
740,-7.31,-6.74,9.59
750,-7.04,-6.51,9.45
760,-6.72,-6.25,9.13
770,-6.31,-6.06,8.82
780,-5.88,-5.89,8.49
790,-5.41,-5.83,8.13
800,-5.02,-5.78,7.84
810,-4.71,-5.74,7.49
820,-4.46,-5.72,7.22
830,-4.21,-5.76,6.88
840,-3.95,-5.77,6.69
850,-3.64,-5.81,6.54
860,-3.48,-5.82,6.2
870,-3.17,-5.72,5.95
880,-2.8,-5.6,5.66
890,-2.63,-5.62,5.37
900,-2.25,-5.6,5.18
910,-2.03,-5.61,4.93
920,-1.69,-5.61,4.58
930,-1.41,-5.69,4.33
940,-1.26,-5.73,4.15
950,-1.09,-5.91,3.98
960,-0.96,-6.05,3.86
970,-0.93,-6.15,3.71
980,-0.89,-6.21,3.51
990,-0.82,-6.31,3.36
1000,-0.76,-6.43,3.33
