timestamp,x,y,z
0,-6.65,-6.65,2.18
10,-6.66,-6.78,2.15
20,-6.69,-6.89,2.11
30,-6.71,-6.98,2.12
40,-6.75,-6.99,2.13
50,-6.66,-7.03,2.11
60,-6.67,-7.02,2.09
70,-6.69,-6.99,2.14
80,-6.65,-6.92,2.2
90,-6.74,-6.88,2.24
100,-6.71,-6.83,2.2
110,-6.6,-6.83,2.15
120,-6.51,-6.76,2.1
130,-6.4,-6.7,2.07
140,-6.24,-6.62,1.97
150,-6.12,-6.53,1.94
160,-5.98,-6.51,1.91
170,-5.89,-6.49,1.88
180,-5.72,-6.42,1.88
190,-5.6,-6.36,1.87
200,-5.46,-6.21,1.81
210,-5.4,-6.04,1.7
220,-5.35,-5.88,1.64
230,-5.38,-5.71,1.55
240,-5.39,-5.53,1.52
250,-5.5,-5.36,1.5
260,-5.57,-5.14,1.43
270,-5.54,-4.91,1.37
280,-5.39,-4.66,1.29
290,-5.25,-4.39,1.14
300,-5.09,-4.07,0.95
310,-4.98,-3.74,0.84
320,-4.88,-3.41,0.76
330,-4.91,-3.06,0.72
340,-4.88,-2.82,0.78
350,-4.84,-2.73,0.85
360,-5.01,-2.56,1.08
370,-4.66,-2.59,1.58
380,-4.94,-2.67,1.88
390,-5.51,-2.65,2.49
400,-6.16,-2.85,2.92
410,-6.72,-2.97,3.31
420,-7.02,-3.26,3.85
430,-7.23,-3.63,4.26
440,-7.55,-3.94,4.32
450,-7.82,-4.17,3.87
460,-8.21,-4.01,3.23
470,-8.47,-4.12,2.73
480,-8.54,-4.43,2.79
490,-8.6,-4.97,3.31
500,-8.73,-5.49,3.72
510,-8.64,-5.8,4.15
520,-8.88,-5.95,4.54
530,-8.92,-6.02,4.75
540,-9.11,-5.98,4.97
550,-9.33,-5.82,5.05
560,-9.56,-5.54,5.06
570,-9.93,-5.43,5.26
580,-10.62,-5.44,5.47
590,-11.39,-5.78,5.68
600,-11.87,-6.3,5.68
610,-12.43,-6.86,5.74
620,-12.84,-7.16,5.51
630,-13.58,-8.2,5.43
640,-13.97,-7.96,3.83
650,-14.31,-6.88,3.73
660,-14.03,-7.37,3.89
670,-13.73,-7.44,3.46
680,-13.32,-7.66,3.66
690,-12.86,-7.45,3.78
700,-12.47,-7.14,3.96
710,-12.46,-6.76,3.93
720,-12.26,-6.36,4.13
730,-11.84,-6.15,4.16
740,-11.51,-6.04,4.1
750,-11.06,-6.03,4.06
760,-10.64,-6.01,4.08
770,-10.48,-5.87,4.07
780,-10.15,-5.74,3.91
790,-9.93,-5.7,3.74
800,-9.38,-5.75,3.74
810,-8.89,-5.7,3.61
820,-8.11,-5.66,3.4
830,-7.51,-5.56,3.23
840,-6.92,-5.43,3.14
850,-6.62,-5.26,3.07
860,-6.34,-5.17,3.24
870,-6.11,-5.15,3.42
880,-5.73,-5.19,3.49
890,-5.13,-5.26,3.4
900,-4.41,-5.39,3.32
910,-3.79,-5.32,3.06
920,-3.39,-5.13,2.9
930,-3.05,-4.79,2.67
940,-2.78,-4.47,2.44
950,-2.52,-4.32,2.27
960,-2.28,-4.23,2.07
970,-1.87,-4.39,2.05
980,-1.59,-4.53,1.88
990,-1.38,-4.86,1.9
1000,-1.49,-5.0,2.02
