timestamp,x,y,z
0,1.19,-9.3,3.92
10,1.11,-9.34,3.98
20,1.15,-9.37,3.95
30,1.15,-9.37,3.98
40,1.11,-9.41,3.97
50,1.1,-9.42,3.92
60,1.11,-9.44,3.98
70,1.1,-9.44,3.88
80,1.11,-9.43,3.94
90,1.14,-9.39,3.97
100,1.13,-9.36,3.92
110,1.12,-9.34,3.96
120,1.08,-9.4,3.9
130,1.04,-9.51,3.72
140,0.89,-9.71,3.42
150,0.67,-9.81,3.17
160,0.41,-9.84,3.19
170,0.17,-9.7,3.34
180,-0.07,-9.64,3.5
190,0.17,-9.65,3.63
200,0.09,-9.55,3.92
210,-0.08,-9.35,4.05
220,0.52,-9.16,3.65
230,0.27,-8.97,3.76
240,0.27,-8.66,4.06
250,0.29,-8.31,3.85
260,0.14,-8.17,3.83
270,0.09,-8.03,3.72
280,0.05,-7.97,3.65
290,0.03,-7.72,3.75
300,-0.18,-7.46,3.86
310,-0.34,-7.23,3.71
320,-0.49,-6.8,3.96
330,-0.4,-6.63,4.01
340,-0.06,-6.49,4.09
350,-0.14,-6.15,4.33
360,0.04,-5.81,4.52
370,-0.12,-5.53,4.48
380,-0.39,-5.34,4.62
390,-0.55,-5.41,4.74
400,-0.65,-5.43,5.0
410,-0.75,-5.1,5.05
420,-1.09,-4.88,5.28
430,-1.33,-4.7,5.35
440,-1.34,-4.7,5.62
450,-0.62,-4.84,5.49
460,-1.23,-5.22,5.88
470,-0.69,-5.63,6.18
480,-0.57,-5.74,6.33
490,-0.44,-5.58,6.48
500,-0.53,-5.57,6.43
510,-0.29,-5.25,6.18
520,-0.24,-5.58,6.34
530,-0.18,-5.84,6.4
540,0.3,-5.66,6.61
550,0.51,-5.6,6.61
560,0.58,-5.31,6.63
570,0.15,-4.92,7.26
580,-1.7,-4.79,8.48
590,-3.03,-5.18,9.19
600,-3.39,-5.8,10.17
610,-3.75,-7.07,10.73
620,-4.44,-8.4,10.97
630,-5.15,-9.34,11.34
640,-5.77,-9.39,11.89
650,-5.9,-7.25,12.75
660,-8.27,-9.16,11.6
670,-8.74,-8.88,12.08
680,-8.91,-8.82,12.3
690,-8.36,-8.82,12.01
700,-7.85,-8.74,12.07
710,-7.37,-8.4,12.1
720,-6.92,-7.75,12.21
730,-6.37,-7.05,12.31
740,-5.95,-6.33,12.37
750,-5.81,-5.96,12.2
760,-5.79,-6.02,11.89
770,-5.44,-6.24,11.56
780,-4.99,-6.55,11.11
790,-4.65,-6.72,10.75
800,-4.54,-6.98,10.05
810,-4.37,-7.02,9.58
820,-4.13,-6.94,9.03
830,-3.87,-6.8,8.62
840,-3.62,-6.68,8.13
850,-3.26,-6.47,7.65
860,-2.83,-6.43,7.1
870,-2.31,-6.43,6.38
880,-2.04,-6.38,5.69
890,-1.82,-6.45,4.92
900,-1.74,-6.68,4.18
910,-1.61,-6.68,3.62
920,-1.45,-6.58,3.21
930,-1.46,-6.44,2.96
940,-1.3,-6.33,2.7
950,-0.84,-6.39,2.51
960,0.05,-6.64,2.27
970,1.06,-6.58,2.42
980,1.37,-7.1,1.51
990,-0.19,-8.03,1.19
1000,-2.15,-7.81,1.51
