timestamp,x,y,z
0,-4.06,-8.66,3.2
10,-4.0,-8.64,3.25
20,-3.99,-8.65,3.35
30,-3.96,-8.63,3.42
40,-3.96,-8.58,3.42
50,-3.92,-8.5,3.38
60,-3.86,-8.45,3.4
70,-3.89,-8.38,3.3
80,-3.64,-8.36,3.4
90,-3.53,-8.34,3.3
100,-3.53,-8.27,3.23
110,-3.41,-8.19,3.17
120,-3.31,-8.12,3.0
130,-3.21,-8.01,2.86
140,-3.1,-7.92,2.69
150,-3.06,-7.86,2.6
160,-2.96,-7.76,2.47
170,-2.98,-7.73,2.37
180,-2.93,-7.66,2.29
190,-2.91,-7.62,2.16
200,-2.94,-7.52,2.05
210,-2.94,-7.44,1.89
220,-2.98,-7.37,1.73
230,-3.0,-7.28,1.6
240,-2.93,-7.24,1.33
250,-2.69,-7.15,0.96
260,-2.37,-7.04,0.65
270,-2.16,-6.8,0.37
280,-2.13,-6.56,0.33
290,-1.82,-5.75,0.28
300,-1.59,-5.39,0.59
310,-1.76,-4.97,0.86
320,-1.94,-4.68,1.42
330,-2.38,-4.64,1.79
340,-2.83,-4.69,2.35
350,-3.28,-4.91,2.76
360,-3.76,-5.18,2.99
370,-4.16,-5.45,3.33
380,-4.62,-5.81,3.49
390,-4.81,-5.9,3.56
400,-5.37,-6.04,3.61
410,-5.91,-6.17,3.72
420,-6.84,-6.29,3.96
430,-7.49,-6.22,4.33
440,-8.57,-6.15,5.01
450,-8.87,-6.29,5.74
460,-8.87,-6.13,5.86
470,-8.93,-5.77,6.08
480,-9.06,-5.6,6.42
490,-9.07,-5.55,6.65
500,-8.72,-5.81,6.85
510,-8.7,-5.97,7.16
520,-8.94,-5.96,7.5
530,-9.28,-5.89,7.58
540,-9.73,-5.73,7.45
550,-10.22,-5.57,7.13
560,-10.71,-5.34,6.9
570,-11.2,-5.57,6.85
580,-11.63,-5.88,6.68
590,-11.83,-6.23,6.58
600,-11.89,-6.45,6.45
610,-11.9,-6.59,6.22
620,-12.02,-6.41,5.92
630,-12.11,-6.04,5.59
640,-12.02,-5.7,5.33
650,-11.98,-5.35,5.26
660,-11.83,-5.3,5.45
670,-11.52,-5.46,5.57
680,-11.0,-5.71,5.77
690,-10.5,-5.83,6.05
700,-9.89,-5.79,6.22
710,-9.6,-5.56,6.17
720,-9.0,-5.43,6.16
730,-8.58,-5.29,6.09
740,-8.04,-5.21,5.95
750,-7.34,-5.28,5.8
760,-6.73,-5.28,5.61
770,-6.2,-5.27,5.56
780,-5.75,-5.25,5.45
790,-5.4,-5.2,5.23
800,-4.82,-5.21,4.99
810,-4.4,-5.2,4.75
820,-3.99,-5.16,4.56
830,-3.69,-5.12,4.22
840,-3.23,-5.09,3.85
850,-2.89,-5.09,3.52
860,-2.69,-5.13,3.23
870,-2.25,-5.3,3.15
880,-2.04,-5.59,3.07
890,-1.74,-5.69,2.76
900,-1.58,-5.84,2.44
910,-1.39,-5.87,2.11
920,-1.22,-5.93,1.87
930,-1.12,-6.01,1.7
940,-1.21,-6.02,1.43
950,-1.28,-6.11,1.24
960,-1.28,-6.27,1.15
970,-1.48,-6.43,0.83
980,-1.35,-6.65,0.71
990,-1.54,-6.82,0.68
1000,-1.64,-6.9,0.89
