timestamp,x,y,z
0,-4.0,-7.58,4.39
10,-4.0,-7.52,4.35
20,-4.06,-7.52,4.25
30,-4.01,-7.53,4.41
40,-4.19,-7.55,4.44
50,-4.37,-7.46,4.43
60,-4.36,-7.37,4.6
70,-4.43,-7.37,4.74
80,-4.36,-7.23,4.71
90,-4.24,-7.12,4.55
100,-3.97,-7.03,4.27
110,-3.74,-7.07,3.96
120,-3.54,-7.18,3.62
130,-3.39,-7.2,3.33
140,-3.3,-7.24,3.01
150,-3.14,-7.25,2.64
160,-2.93,-7.24,2.33
170,-2.71,-7.27,2.14
180,-2.64,-7.17,1.87
190,-2.56,-7.07,1.63
200,-2.46,-6.97,1.55
210,-2.45,-6.83,1.5
220,-2.47,-6.63,1.59
230,-2.62,-6.52,1.61
240,-2.67,-6.4,1.7
250,-2.82,-6.28,1.77
260,-3.01,-6.2,1.76
270,-3.17,-6.16,1.76
280,-3.27,-6.04,1.7
290,-3.38,-5.96,1.68
300,-3.47,-5.82,1.68
310,-3.35,-5.66,1.85
320,-3.14,-5.58,1.86
330,-3.32,-5.44,1.86
340,-3.4,-5.54,2.04
350,-3.81,-5.13,2.43
360,-4.08,-4.9,2.96
370,-4.58,-4.77,3.5
380,-5.66,-4.41,4.0
390,-5.91,-4.39,4.62
400,-5.27,-4.69,4.39
410,-6.39,-4.8,4.79
420,-7.15,-4.99,5.01
430,-7.29,-5.34,4.92
440,-7.74,-5.56,4.91
450,-8.55,-5.94,5.09
460,-8.85,-5.99,5.32
470,-9.24,-6.05,5.66
480,-9.64,-6.1,5.78
490,-9.51,-6.03,5.88
500,-35.97,-11.88,15.88
510,-5.36,-12.36,5.47
520,-7.69,-8.66,5.23
530,-8.23,-6.33,7.85
540,-8.57,-6.24,7.35
550,-8.5,-4.97,7.39
560,-7.69,-4.01,6.9
570,-6.05,-4.78,6.25
580,-6.35,-5.67,6.06
590,-7.55,-6.39,6.54
600,-8.07,-7.38,6.93
610,-9.62,-8.17,6.91
620,-10.47,-8.03,6.97
630,-11.09,-8.03,7.18
640,-11.38,-7.81,6.74
650,-11.2,-7.5,6.02
660,-10.6,-7.67,5.77
670,-10.06,-7.56,5.35
680,-9.81,-7.66,5.17
690,-9.29,-7.54,5.21
700,-8.76,-7.61,5.2
710,-8.29,-7.59,5.02
720,-7.59,-7.42,4.86
730,-7.05,-7.45,4.77
740,-6.37,-7.33,4.68
750,-5.67,-7.17,4.53
760,-5.39,-7.07,4.3
770,-4.94,-6.92,4.19
780,-4.36,-6.6,3.86
790,-3.99,-6.55,3.8
800,-3.59,-6.48,3.9
810,-3.32,-6.44,3.84
820,-3.01,-6.3,3.91
830,-2.49,-6.12,3.62
840,-2.1,-6.15,3.34
850,-1.69,-6.02,3.17
860,-1.45,-6.0,3.01
870,-1.31,-5.91,2.83
880,-1.02,-5.76,2.68
890,-0.75,-5.75,2.31
900,-0.59,-5.77,2.22
910,-0.52,-5.77,2.03
920,-0.62,-5.74,1.68
930,-0.54,-5.76,1.34
940,-0.55,-6.01,0.98
950,-0.58,-6.21,0.8
960,-0.75,-6.44,0.61
970,-0.96,-6.67,0.37
980,-1.17,-6.84,0.14
990,-1.3,-6.95,-0.06
1000,-1.53,-7.14,-0.17
